Description,Selection,Bet Id,Bet type,Matched amount,Loss rec. amount,Avg. price matched,Status,P/L,Strategy,Short description,Tipster,Placed date,Matched date,Settled date,Settle as win
10:00 Boyaca Patriotas v Quindio\First Half Goals 0.5\Over 0.5 Goals,Over 0.5 Goals,639088709229955701,BACK,Åí90.00,Åí0.00,2,SETTLED,-Åí90.00,MV25.03 ?90 Back O0.5HT 2.00-2.20 ,Score at time of bet: 0 - 0,,2026-03-12 10:13:11,2026-03-12 10:13:11,2026-03-12 10:51:05,
10:00 Atl Tucuman v Aldosivi\First Half Goals 0.5\Over 0.5 Goals,Over 0.5 Goals,639088709229955702,BACK,Åí90.00,Åí0.00,2,SETTLED,Åí90.00,MV25.03 ?90 Back O0.5HT 2.00-2.20 ,Score at time of bet: 0 - 0,,2026-03-12 10:14:57,2026-03-12 10:14:57,2026-03-12 10:22:05,
10:00 Independiente Rivadavia v Barracas Central\First Half Goals 0.5\Over 0.5 Goals,Over 0.5 Goals,639088709229955703,BACK,Åí90.00,Åí0.00,2,SETTLED,Åí90.00,MV25.03 ?90 Back O0.5HT 2.00-2.20 ,Score at time of bet: 0 - 0,,2026-03-12 10:18:11,2026-03-12 10:18:11,2026-03-12 10:36:05,
10:00 Independiente Rivadavia v Barracas Central\First Half Goals 1.5\Over 1.5 Goals,Over 1.5 Goals,639088709229955704,BACK,Åí30.00,Åí0.00,6.8,SETTLED,Åí174.00,MV25.02 ?30 Back O1.5HT 18-24m HgP@g,Score at time of bet: 0 - 0,,2026-03-12 10:18:50,2026-03-12 10:18:50,2026-03-12 10:45:25,
10:00 Boyaca Patriotas v Quindio\First Half Goals 1.5\Over 1.5 Goals,Over 1.5 Goals,639088709229955705,BACK,Åí30.00,Åí0.00,8.2,SETTLED,-Åí30.00,MV25.02 ?30 Back O1.5HT 18-24m HgP@g,Score at time of bet: 0 - 0,,2026-03-12 10:19:08,2026-03-12 10:19:08,2026-03-12 10:50:14,
10:00 Atl Tucuman v Aldosivi\First Half Goals 1.5\Over 1.5 Goals,Over 1.5 Goals,639088709229955706,BACK,Åí30.00,Åí0.00,8.2,SETTLED,-Åí30.00,MV25.02 ?30 Back O1.5HT 18-24m HgP@g,Score at time of bet: 0 - 0,,2026-03-12 10:19:16,2026-03-12 10:19:16,2026-03-12 10:47:06,
09:30 Manaus FC v Londrina\Over/Under 1.5 Goals\Over 1.5 Goals,Over 1.5 Goals,639088709229955707,BACK,Åí90.00,Åí0.00,3.2,SETTLED,-Åí90.00,MV25.05 ?90 Back O1.5FT @HT IF0-0 HgP@g,Score at time of bet: 0 - 0,,2026-03-12 10:20:22,2026-03-12 10:20:22,2026-03-12 11:28:49,
10:00 Atl Tucuman v Aldosivi\First Half Goals 1.5\Over 1.5 Goals,Over 1.5 Goals,639088709229955708,LAY,Åí52.80,Åí0.00,2.5,SETTLED,Åí52.80,MV25.01 ?30 Back O1.5HT 1-3m HgP@g,Hedge - because score is: 0 - 1. Hedge - because score is: 0 - 1.  Score at time of bet: 0 - 1,,2026-03-12 10:22:12,2026-03-12 10:22:12,2026-03-12 10:47:06,
10:00 Atl Tucuman v Aldosivi\First Half Goals 1.5\Over 1.5 Goals,Over 1.5 Goals,639088709229955709,LAY,Åí99.19,Åí0.00,2.48,SETTLED,Åí99.19,MV25.02 ?30 Back O1.5HT 18-24m HgP@g,Hedge - because score is: 0 - 1. Hedge - because score is: 0 - 1.  Score at time of bet: 0 - 1,,2026-03-12 10:22:29,2026-03-12 10:22:29,2026-03-12 10:47:06,
14:00 Gangneung City v Pocheon FC\First Half Goals 1.5\Over 1.5 Goals,Over 1.5 Goals,639089561549192851,BACK,Åí30.00,Åí0.00,3.4,SETTLED,-Åí30.00,MV26.01 ?30 Back O1.5HT 1-3m HgP@g,Score at time of bet: 0 - 0,,2026-03-13 14:01:42,2026-03-13 14:01:42,2026-03-13 22:16:16,
